"Reference","Value","Footprint","Datasheet","Height","JLCPCB Part #","JLCPCB Part#","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Qty"
"C1, C6, C8","100n","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","3"
"C2","1 uF","Capacitor_SMD:C_0603_1608Metric","~","","","","","","","","1"
"C3","2.2 uF","Capacitor_SMD:C_0402_1005Metric","~","","","C2999759","","","","","1"
"C4, C7","47u","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T","~","","","","","","","","2"
"C5","4.7 uF","Capacitor_SMD:C_0402_1005Metric","~","","","C2999759","","","","","1"
"C11","10n","Capacitor_SMD:C_0402_1005Metric","~","","","C272878","","","","","1"
"C12","1 uF","Capacitor_SMD:C_0402_1005Metric","~","","","C528974","","","","","1"
"D1","BLUE LED","LED_SMD:LED_0402_1005Metric","~","","","","","","","","1"
"D2","BLUE LED","LED_SMD:LED_0201_0603Metric","~","","","","","","","","1"
"R1","100k","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","1"
"R2","0","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","1"
"R3, R5","1k5","Resistor_SMD:R_0201_0603Metric","~","","","","","","","","2"
"R4","1k5","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","1"
"TP1-TP3, TP6-TP8, TP11-TP17","Pad","Connector:Castellated_Pad_1x2mm","~","","","","","","","","13"
"U1","DRV8231ADSGR","Package_SON:SON50P200X200X80-9N","https://www.ti.com/lit/ds/symlink/drv8231a.pdf?ts=1648534030931&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FDRV8231A%253FkeyMatch%253DDRV8231ADSGR%2526tisearch%253Dsearch-everything%2526usecase%253DOPN","0.8","","","Texas Instruments","DRV8231ADSGR","595-DRV8231ADSGR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV8231ADSGR?qs=Rp5uXu7WBW%252BKZGX8zD3MhQ%3D%3D","1"
"U2","STM32F031G6Ux","Package_DFN_QFN:QFN-28_4x4mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f031g6.pdf","","","","","","","","1"
"U3","TPS709","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tps709.pdf","","","C2872343","","","","","1"
